sal_code_2021,suburb,population_2021
SAL50002,Abbey,1321
SAL10002,Abbotsbury,4200
SAL10003,Abbotsford (NSW),5431
SAL20002,Abbotsford (Vic.),9088
SAL10004,Abercrombie,1127
SAL10006,Aberdare,2542
SAL10007,Aberdeen (NSW),2051
SAL20003,Aberfeldie,3925
SAL40001,Aberfoyle Park,11234
SAL10009,Aberglasslyn,6552
SAL10010,Abermain,2544
SAL10014,Acacia Gardens,3668
SAL30007,Acacia Ridge,7486
SAL80017,Acton (ACT),2848
SAL60005,Acton (Tas.),1377
SAL60006,Acton Park (Tas.),2293
SAL10016,Adamstown,6335
SAL10017,Adamstown Heights,5621
SAL30009,Adare,1027
SAL40002,Adelaide,18202
SAL30014,Agnes Water,2729
SAL80018,Ainslie,5376
SAL20011,Aintree,7982
SAL10022,Airds,3265
SAL30016,Airlie Beach,1312
SAL20015,Airport West,8173
SAL30018,Aitkenvale,4797
SAL70003,Alawa,2078
SAL20017,Albanvale,5641
SAL50006,Albany,1403
SAL30020,Albany Creek,16385
SAL40006,Albert Park (SA),1780
SAL20018,Albert Park (Vic.),6044
SAL40007,Alberton (SA),1860
SAL30024,Albion (Brisbane - Qld),3446
SAL20021,Albion (Vic.),4334
SAL10025,Albion Park,13826
SAL10026,Albion Park Rail,6920
SAL10027,Albury,4955
SAL10028,Aldavilla,1443
SAL30026,Alderley,6748
SAL30027,Aldershot,1311
SAL40008,Aldgate,3471
SAL40010,Aldinga Beach,10667
SAL50008,Alexander Heights,7772
SAL20022,Alexandra (Vic.),2801
SAL30030,Alexandra Headland,4235
SAL30031,Alexandra Hills,16472
SAL10030,Alexandria,9649
SAL10031,Alfords Point,3131
SAL50010,Alfred Cove,2830
SAL20023,Alfredton,11822
SAL30032,Algester,9020
SAL30034,Alice River,2685
SAL50011,Alkimos,10203
SAL10036,Allambie Heights,7317
SAL20028,Allansford,1410
SAL10038,Allawah,5351
SAL40012,Allenby Gardens,2045
SAL30037,Allenstown,2762
SAL30040,Alligator Creek (Townsville - Qld),1550
SAL30041,Allora,1205
SAL20034,Alphington,5702
SAL10046,Alstonville,5912
SAL30047,Alton Downs,1324
SAL20035,Altona (Vic.),11490
SAL20036,Altona Meadows,18479
SAL20037,Altona North,12962
SAL80019,Amaroo (ACT),6129
SAL10049,Ambarvale,7254
SAL30059,Andergrove,9924
SAL40026,Andrews Farm,8699
SAL40029,Angaston,2202
SAL40030,Angle Park,1555
SAL40031,Angle Vale,4051
SAL20046,Anglesea,3208
SAL10061,Anna Bay,4221
SAL10062,Annandale (NSW),9487
SAL30063,Annandale (Qld),8376
SAL10063,Annangrove,1472
SAL30064,Annerley,11891
SAL30065,Anstead,1522
SAL70014,Anula,2385
SAL20049,Apollo Bay (Vic.),1790
