year,granularity,classification_method,district_code,region_key,region_label,postcode,subregion_key,subregion_label,suburb,suburb_key,suburb_label,sales_count_total,sales_count_house,sales_count_apartment,sales_count_vacant_land,sales_count_other,median_sale_price_all_aud,median_sale_price_residential_aud,median_sale_price_house_aud,median_sale_price_apartment_aud,median_sale_price_vacant_land_aud,median_area_sqm_all,median_area_sqm_house,median_area_sqm_apartment,median_days_to_settlement_all,median_days_to_settlement_house,median_days_to_settlement_apartment,most_common_primary_purpose,most_common_nature_code,top_zone_code
1990,region,heuristic_archive_schema,central-coast,central-coast,Central Coast,,central-coast:UNKNOWN,UNKNOWN in Central Coast,,central-coast:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),5142,4810,331,0,1,105000.0,105000,105000.0,120000,,604.0,601.36,713.0,,,,,A,
1990,region,heuristic_archive_schema,central-west-orana,central-west-orana,Central West & Orana,,central-west-orana:UNKNOWN,UNKNOWN in Central West & Orana,,central-west-orana:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),5461,5237,219,0,5,68000,68000.0,65500,80000,,762.0,759.1,1158.0,,,,,A,
1990,region,heuristic_archive_schema,far-west,far-west,Far West,,far-west:UNKNOWN,UNKNOWN in Far West,,far-west:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),354,350,3,0,1,35000.0,35000,35000.0,80000,,1012.0,1012.0,885.2,,,,,Z,
1990,region,heuristic_archive_schema,hunter,hunter,Hunter,,hunter:UNKNOWN,UNKNOWN in Hunter,,hunter:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),13972,13182,786,0,4,80000.0,80000.0,80000.0,87250.0,,670.0,668.15,959.4,,,,,A,
1990,region,heuristic_archive_schema,illawarra,illawarra,Illawarra,,illawarra:UNKNOWN,UNKNOWN in Illawarra,,illawarra:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),7394,6410,983,0,1,105000.0,105000,103000.0,107000,,660.1,658.0,786.65,,,,,A,
1990,region,heuristic_archive_schema,metropolitan-sydney,metropolitan-sydney,Metropolitan Sydney,,metropolitan-sydney:UNKNOWN,UNKNOWN in Metropolitan Sydney,,metropolitan-sydney:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),54494,46484,8001,0,9,142000.0,142000,141000.0,145000,,623.0,626.0,235.0,,,,,A,
1990,region,heuristic_archive_schema,new-england-north-west,new-england-north-west,New England & North West,,new-england-north-west:UNKNOWN,UNKNOWN in New England & North West,,new-england-north-west:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),2303,2263,40,0,0,58000,58000,58000,56000.0,,777.0,772.7,944.4,,,,,R,
1990,region,heuristic_archive_schema,north-coast,north-coast,North Coast,,north-coast:UNKNOWN,UNKNOWN in North Coast,,north-coast:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),5451,4480,971,0,0,75500,75500,65000.0,98000,,673.65,670.0,792.5,,,,,A,
1990,region,heuristic_archive_schema,riverina-murray,riverina-murray,Riverina Murray,,riverina-murray:UNKNOWN,UNKNOWN in Riverina Murray,,riverina-murray:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),4112,3671,437,0,4,72500.0,72500.0,72000,75000,,794.0,796.0,410.0,,,,,A,
1990,region,heuristic_archive_schema,south-east-tablelands,south-east-tablelands,South East & Tablelands,,south-east-tablelands:UNKNOWN,UNKNOWN in South East & Tablelands,,south-east-tablelands:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),3655,3345,308,0,2,77000,77000,75000,95250.0,,782.0,758.8,2530.0,,,,,A,
1991,region,heuristic_archive_schema,central-coast,central-coast,Central Coast,,central-coast:UNKNOWN,UNKNOWN in Central Coast,,central-coast:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),10712,9472,1238,0,2,117000.0,117000.0,115000.0,122500.0,,628.0,619.7,894.95,,,,,A,
1991,region,heuristic_archive_schema,central-west-orana,central-west-orana,Central West & Orana,,central-west-orana:UNKNOWN,UNKNOWN in Central West & Orana,,central-west-orana:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),11641,11231,402,0,8,70000,70000,70000,82000.0,,780.8,773.0,1512.0,,,,,A,
1991,region,heuristic_archive_schema,far-west,far-west,Far West,,far-west:UNKNOWN,UNKNOWN in Far West,,far-west:UNKNOWN:UNKNOWN,UNKNOWN (UNKNOWN),1057,1042,10,0,5,36000,35500.0,35000.0,77000.0,,1012.0,1012.0,3149.5,,,,,A,
