source_dataset_year,postcode,suburb,suburb_key,region_label,property_type,series_window,series_granularity,date,rental_yield_ratio,rental_yield_percent,sales_count_house_source_csv,sales_count_apartment_source_csv,source_url
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2016-06-30,0.02995,2.995,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2017-06-30,0.0266,2.66,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2018-06-30,0.0299,2.99,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2019-06-30,0.0333,3.33,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2020-06-30,0.02845,2.845,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2021-06-30,0.0259,2.59,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2022-06-30,0.0239,2.39,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2023-06-30,0.0289,2.89,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2024-06-30,0.0306,3.06,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2025-06-30,0.0258,2.58,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,house,10y,yearly,2026-06-30,0.0306,3.06,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,unit,10y,yearly,2016-06-30,0.05765,5.765,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,unit,10y,yearly,2017-06-30,0.051,5.1,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,unit,10y,yearly,2018-06-30,0.0534,5.34,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,unit,10y,yearly,2019-06-30,0.05405,5.405,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
2026,2007,Ultimo,metropolitan-sydney:2007:ULTIMO,Metropolitan Sydney,unit,10y,yearly,2020-06-30,0.05075,5.075,11,110,https://www.yourinvestmentpropertymag.com.au/top-suburbs/nsw/2007-ultimo
